SEASON_ID,TEAM_ABBREVIATION,PTS
2024-25,NOP,128
2024-25,TOR,104
2024-25,PHX,98
2024-25,CHI,112
2024-25,CLE,133
2024-25,SAS,132
2024-25,NYK,116
2024-25,MIA,112
2024-25,ORL,102
2024-25,DEN,103
2024-25,OKC,146
2024-25,BOS,110
2024-25,LAC,102
2024-25,POR,129
2024-25,SAC,113
2024-25,SAS,130
2024-25,DAL,117
2024-25,MEM,128
2024-25,GSW,119
2024-25,HOU,103
2024-25,DET,115
2024-25,PHI,126
2024-25,MIL,132
2024-25,CHA,100
2024-25,BKN,94
2024-25,WAS,113
2024-25,NYK,114
2024-25,TOR,115
2024-25,BKN,102
2024-25,PHX,125
2024-25,DEN,134
2024-25,LAC,102
2024-25,CHI,125
2024-25,UTA,117
2024-25,IND,120
2024-25,BOS,116
2024-25,POR,121
2024-25,ATL,119
2024-25,LAL,106
2024-25,NOP,108
2024-25,DET,119
2024-25,MIA,125
2024-25,MIN,116
2024-25,OKC,135
2024-25,MEM,113
2024-25,CLE,123
2024-25,NOP,124
2024-25,DEN,112
2024-25,GSW,121
2024-25,CHA,96
2024-25,DAL,103
2024-25,PHX,116
2024-25,LAL,111
2024-25,MIN,102
2024-25,MIL,121
2024-25,ORL,115
2024-25,WAS,121
2024-25,SAS,106
2024-25,OKC,129
2024-25,CHI,117
2024-25,ATL,109
2024-25,BOS,97
2024-25,IND,111
2024-25,BKN,121
2024-25,SAC,118
2024-25,DET,117
2024-25,HOU,118
2024-25,MIA,131
2024-25,NYK,110
2024-25,UTA,101
2024-25,POR,129
2024-25,TOR,91
2024-25,PHI,105
2024-25,LAC,122
2024-25,MEM,151
2024-25,ORL,82
2024-25,DAL,99
2024-25,PHX,148
2024-25,TOR,101
2024-25,MIL,97
2024-25,NOP,109
2024-25,SAS,103
2024-25,CHA,92
2024-25,HOU,100
2024-25,BOS,111
2024-25,CLE,122
2024-25,GSW,128
2024-25,LAL,107
2024-25,BKN,99
2024-25,CHI,142
2024-25,MIA,86
2024-25,OKC,128
2024-25,LAC,97
2024-25,ATL,98
2024-25,PHI,110
2024-25,UTA,112
2024-25,CHA,88
2024-25,SAC,130
2024-25,DET,106
2024-25,WAS,107
2024-25,IND,116
2024-25,POR,114
2024-25,DEN,125
2024-25,MIN,131
2024-25,IND,129
2024-25,ORL,110
2024-25,TOR,127
2024-25,NOP,114
2024-25,ATL,143
2024-25,LAC,111
2024-25,BOS,118
2024-25,OKC,130
2024-25,GSW,126
2024-25,DAL,102
2024-25,MEM,123
2024-25,MIL,120
2024-25,CLE,129
2024-25,PHX,109
2024-25,MIN,123
2024-25,MIA,113
2024-25,WAS,90
2024-25,NYK,105
2024-25,DET,148
2024-25,SAS,96
2024-25,BKN,105
2024-25,PHX,121
2024-25,PHI,103
2024-25,POR,141
2024-25,CHI,117
2024-25,LAL,123
2024-25,CHA,88
2024-25,HOU,115
2024-25,UTA,124
2024-25,DEN,100
2024-25,MEM,105
2024-25,CLE,142
2024-25,NOP,103
2024-25,HOU,121
2024-25,NYK,105
2024-25,MIN,115
2024-25,SAS,110
2024-25,SAC,108
2024-25,WAS,101
2024-25,GSW,132
2024-25,MIA,120
2024-25,OKC,130
2024-25,ORL,104
2024-25,DAL,111
2024-25,UTA,107
2024-25,DET,125
2024-25,TOR,111
2024-25,MIL,104
2024-25,ORL,114
2024-25,IND,127
2024-25,SAS,120
2024-25,POR,102
2024-25,NYK,113
2024-25,CHA,115
2024-25,CHI,111
2024-25,LAC,110
2024-25,PHI,104
2024-25,MIL,116
2024-25,MEM,113
2024-25,PHX,109
2024-25,CLE,110
2024-25,BKN,97
2024-25,DEN,129
2024-25,BOS,124
2024-25,LAL,110
2024-25,ATL,108
2024-25,LAL,97
2024-25,CHA,100
2024-25,MIN,116
2024-25,OKC,101
2024-25,LAC,120
2024-25,HOU,98
2024-25,MIA,113
2024-25,SAC,133
2024-25,NOP,140
2024-25,UTA,116
2024-25,DAL,118
2024-25,GSW,105
2024-25,TOR,108
2024-25,SAC,119
2024-25,MIN,101
2024-25,NYK,149
